Exp                         , corte, ganancia, , Exp                         , Promedio, SD
KA9500-ex4-pesos-covid-2_s40, 12000,    63787, , KA9500-ex4-pesos-covid-2_s40, 63673.67, 493.00
KA9500-ex4-pesos-covid-2_s40, 11750,    63757, , KA9500-ex4-pesos-covid_s40  , 59215.89, 533.98
KA9500-ex4-pesos-covid-2_s40, 11500,    64187, , KA9500-ex4-pesos_s40        , 63271.0 , 640.5
KA9500-ex4-pesos-covid-2_s40, 11250,    64117, ,                             ,         ,    
KA9500-ex4-pesos-covid-2_s40, 11000,    63967, ,                             ,         ,    
KA9500-ex4-pesos-covid-2_s40, 10750,    63857, ,                             ,         ,    
KA9500-ex4-pesos-covid-2_s40, 10500,    63407, ,                             ,         ,    
KA9500-ex4-pesos-covid-2_s40, 10250,    63407, ,                             ,         ,    
KA9500-ex4-pesos-covid-2_s40, 10000,    62577, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 12000,    59327, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 11750,    59377, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 11500,    59717, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 11250,    59967, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 11000,    59547, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 10750,    58967, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 10500,    58167, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 10250,    58927, ,                             ,         ,    
KA9500-ex4-pesos-covid_s40  , 10000,    58947, ,                             ,         ,    
KA9500-ex4-pesos_s40        , 12000,    62447, ,                             ,         ,    
KA9500-ex4-pesos_s40        , 11500,    63247, ,                             ,         ,    
KA9500-ex4-pesos_s40        , 11000,    63227, ,                             ,         ,    
KA9500-ex4-pesos_s40        , 10500,    64247, ,                             ,         ,    
KA9500-ex4-pesos_s40        , 10000,    63187, ,                             ,         ,    
